날짜,시간,경기,구장,비고
04.03(토),14:00,KIAvs두산,잠실,우천취소
04.04(일),14:00,KIA1vs4두산,잠실,-
04.06(화),18:30,KIA5vs4키움,고척,-
04.07(수),18:30,KIA8vs7키움,고척,-
04.08(목),18:30,KIA5vs3키움,고척,-
04.09(금),18:30,NC10vs6KIA,광주,-
04.10(토),17:00,NC9vs2KIA,광주,-
04.11(일),14:00,NC7vs3KIA,광주,-
04.13(화),18:30,롯데8vs0KIA,광주,-
04.14(수),18:30,롯데2vs3KIA,광주,-
04.15(목),18:30,롯데5vs10KIA,광주,-
04.16(금),18:30,KIA11vs6SSG,문학,-
04.17(토),14:00,KIA3vs4SSG,문학,-
04.18(일),14:00,KIA2vs4SSG,문학,-
04.20(화),18:30,KIA6vs3LG,잠실,-
04.21(수),18:30,KIA3vs7LG,잠실,-
04.22(목),18:30,KIA3vs2LG,잠실,-
04.23(금),18:30,삼성1vs4KIA,광주,-
04.24(토),17:00,삼성8vs4KIA,광주,-
04.25(일),14:00,삼성3vs2KIA,광주,-
04.27(화),18:30,한화3vs4KIA,광주,-
04.28(수),18:30,한화0vs4KIA,광주,-
04.29(목),18:30,한화2vs3KIA,광주,-
04.30(금),18:30,KIA3vs15KT,수원,-
05.01(토),17:00,KIA0vs3KT,수원,-
05.02(일),14:00,KIA2vs9KT,수원,-
05.04(화),18:30,KIAvs롯데,사직,기타
05.05(수),14:00,KIA8vs5롯데,사직,-
05.06(목),18:30,KIA9vs17롯데,사직,-
05.07(금),18:30,두산vsKIA,광주,미세먼지취소
05.08(토),14:00,두산vsKIA,광주,미세먼지취소
,17:00,두산11vs5KIA,광주,-
05.09(일),14:00,두산5vs3KIA,광주,-
,17:00,두산9vs0KIA,광주,-
05.11(화),18:30,LG1vs7KIA,광주,-
05.12(수),18:30,LG3vs5KIA,광주,-
05.13(목),18:30,LG8vs3KIA,광주,-
05.14(금),19:00,KIA2vs5NC,창원,-
05.15(토),14:00,KIA3vs7NC,창원,-
05.16(일),14:00,KIAvsNC,창원,우천취소
05.17(월),18:30,KIAvsNC,창원,우천취소
05.18(화),18:30,SSG7vs5KIA,광주,-
05.19(수),14:00,SSG11vs5KIA,광주,-
05.20(목),18:30,SSGvsKIA,광주,우천취소
05.21(금),18:30,KIA3vs5삼성,대구,-
05.22(토),17:00,KIA9vs4삼성,대구,-
05.23(일),14:00,KIA5vs7삼성,대구,-
05.25(화),18:30,키움vsKIA,광주,기타
05.26(수),18:30,키움2vs3KIA,광주,-
05.27(목),18:30,키움4vs5KIA,광주,-
05.28(금),18:30,KT6vs7KIA,광주,-
05.29(토),17:00,KT7vs5KIA,광주,-
05.30(일),14:00,KT4vs3KIA,광주,-
06.01(화),18:30,KIA1vs9한화,대전,-
06.02(수),18:30,KIA5vs3한화,대전,-
06.03(목),18:30,KIAvs한화,대전,우천취소
06.04(금),18:30,LG3vs4KIA,광주,-
06.05(토),17:00,LG8vs2KIA,광주,-
06.06(일),17:00,LG10vs0KIA,광주,-
06.08(화),18:30,KIA0vs7삼성,대구,-
06.09(수),18:30,KIA7vs5삼성,대구,-
06.10(목),18:30,KIA2vs4삼성,대구,-
