날짜,시간,경기,구장,비고
04.03(토),14:00,한화vsKT,수원,우천취소
04.04(일),14:00,한화2vs3KT,수원,-
04.06(화),18:30,LG3vs2KT,수원,-
04.07(수),18:30,LG3vs7KT,수원,-
04.08(목),18:30,LG7vs3KT,수원,-
04.09(금),18:30,KT5vs7삼성,대구,-
04.10(토),14:00,KT6vs7삼성,대구,-
04.11(일),14:00,KT2vs4삼성,대구,-
04.13(화),18:30,KT8vs7두산,잠실,-
04.14(수),18:30,KT1vs3두산,잠실,-
04.15(목),18:30,KT8vs3두산,잠실,-
04.16(금),18:30,키움4vs8KT,수원,-
04.17(토),17:00,키움5vs8KT,수원,-
04.18(일),14:00,키움2vs10KT,수원,-
04.20(화),18:30,KT5vs2NC,창원,-
04.21(수),18:30,KT3vs4NC,창원,-
04.22(목),18:30,KT11vs5NC,창원,-
04.23(금),18:30,롯데10vs5KT,수원,-
04.24(토),17:00,롯데4vs2KT,수원,-
04.25(일),14:00,롯데5vs6KT,수원,-
04.27(화),18:30,KT14vs5SSG,문학,-
04.28(수),18:30,KT2vs4SSG,문학,-
04.29(목),18:30,KT6vs1SSG,문학,-
04.30(금),18:30,KIA3vs15KT,수원,-
05.01(토),17:00,KIA0vs3KT,수원,-
05.02(일),14:00,KIA2vs9KT,수원,-
05.04(화),18:30,KTvs키움,고척,기타
05.05(수),14:00,KT0vs14키움,고척,-
05.06(목),18:30,KT4vs6키움,고척,-
05.07(금),18:30,NCvsKT,수원,미세먼지취소
05.08(토),14:00,NCvsKT,수원,미세먼지취소
05.09(일),14:00,NC16vs11KT,수원,-
,17:00,NC5vs9KT,수원,-
05.11(화),18:30,삼성6vs9KT,수원,-
05.12(수),18:30,삼성7vs5KT,수원,-
05.13(목),18:30,삼성4vs0KT,수원,-
05.14(금),18:30,KT9vs1롯데,사직,-
05.15(토),17:00,KT5vs4롯데,사직,-
05.16(일),14:00,KTvs롯데,사직,우천취소
05.17(월),18:30,KTvs롯데,사직,우천취소
05.18(화),18:30,두산0vs1KT,수원,-
05.19(수),14:00,두산5vs6KT,수원,-
05.20(목),18:30,두산vsKT,수원,우천취소
05.21(금),18:30,KT0vs4한화,대전,-
05.22(토),17:00,KT0vs5한화,대전,-
05.23(일),14:00,KT8vs1한화,대전,-
05.25(화),18:30,SSGvsKT,수원,기타
