날짜,시간,경기,구장,비고
04.03(토),14:00,LGvsNC,창원,우천취소
04.04(일),14:00,LG2vs1NC,창원,-
04.06(화),18:30,LG3vs2KT,수원,-
04.07(수),18:30,LG3vs7KT,수원,-
04.08(목),18:30,LG7vs3KT,수원,-
04.09(금),18:30,SSG5vs9LG,잠실,-
04.10(토),14:00,SSG4vs3LG,잠실,-
04.11(일),14:00,SSG0vs1LG,잠실,-
04.13(화),18:30,LG2vs8키움,고척,-
04.14(수),18:30,LG13vs2키움,고척,-
04.15(목),18:30,LG6vs4키움,고척,-
04.16(금),18:30,두산0vs1LG,잠실,-
04.17(토),17:00,두산3vs1LG,잠실,-
04.18(일),14:00,두산9vs1LG,잠실,-
04.20(화),18:30,KIA6vs3LG,잠실,-
04.21(수),18:30,KIA3vs7LG,잠실,-
04.22(목),18:30,KIA3vs2LG,잠실,-
04.23(금),18:30,LG2vs1한화,대전,-
04.24(토),14:00,LG5vs19한화,대전,-
04.25(일),14:00,LG8vs0한화,대전,-
04.27(화),18:30,롯데0vs4LG,잠실,-
04.28(수),18:30,롯데3vs0LG,잠실,-
04.29(목),18:30,롯데2vs3LG,잠실,-
04.30(금),18:30,LG0vs4삼성,대구,-
05.01(토),17:00,LG2vs8삼성,대구,-
05.02(일),14:00,LG4vs6삼성,대구,-
05.04(화),18:30,LGvs두산,잠실,기타
05.05(수),14:00,LG7vs4두산,잠실,-
05.06(목),18:30,LG7vs2두산,잠실,-
05.07(금),18:30,한화vsLG,잠실,미세먼지취소
05.08(토),14:00,한화vsLG,잠실,미세먼지취소
,17:00,한화2vs11LG,잠실,-
05.09(일),14:00,한화1vs11LG,잠실,-
,17:00,한화5vs4LG,잠실,-
05.11(화),18:30,LG1vs7KIA,광주,-
05.12(수),18:30,LG3vs5KIA,광주,-
05.13(목),18:30,LG8vs3KIA,광주,-
05.14(금),18:30,삼성3vs4LG,잠실,-
05.15(토),17:00,삼성4vs14LG,잠실,-
05.16(일),14:00,삼성vsLG,잠실,우천취소
05.17(월),18:30,삼성3vs1LG,잠실,-
05.18(화),18:30,NC0vs1LG,잠실,-
05.19(수),14:00,NC5vs6LG,잠실,-
05.20(목),18:30,NC11vs1LG,잠실,-
05.21(금),18:30,LG5vs6SSG,문학,-
05.22(토),17:00,LG3vs8SSG,문학,-
05.23(일),14:00,LG0vs8SSG,문학,-
05.25(화),18:30,LGvs롯데,사직,기타
05.26(수),18:30,LG5vs3롯데,사직,-
05.27(목),18:30,LG8vs1롯데,사직,-
05.28(금),18:30,키움1vs3LG,잠실,-
05.29(토),17:00,키움7vs2LG,잠실,-
05.30(일),14:00,키움2vs8LG,잠실,-
06.01(화),18:30,KT8vs1LG,잠실,-
06.02(수),18:30,KT5vs6LG,잠실,-
06.03(목),18:30,KTvsLG,잠실,우천취소
06.04(금),18:30,LG3vs4KIA,광주,-
06.05(토),17:00,LG8vs2KIA,광주,-
06.06(일),17:00,LG10vs0KIA,광주,-
06.08(화),18:30,NC1vs2LG,잠실,-
06.09(수),18:30,NC3vs6LG,잠실,-
06.10(목),18:30,NC6vs0LG,잠실,-
06.11(금),18:30,두산1vs3LG,잠실,-
06.12(토),17:00,두산8vs3LG,잠실,-
06.13(일),17:00,두산0vs2LG,잠실,-
06.15(화),18:30,LG4vs2키움,고척,-
06.16(수),18:30,LG3vs6키움,고척,-
06.17(목),18:30,LG6vs5키움,고척,-
06.18(금),18:30,KIA0vs5LG,잠실,-
06.19(토),17:00,KIA2vs7LG,잠실,-
06.20(일),17:00,KIA0vs6LG,잠실,-
06.22(화),18:30,LG14vs1SSG,문학,-
06.23(수),18:30,LG4vs7SSG,문학,-
06.24(목),18:30,LG5vs8SSG,문학,-
06.25(금),18:30,LGvs삼성,대구,우천취소
06.26(토),14:00,LG10vs5삼성,대구,-
,17:00,LG7vs10삼성,대구,-
06.27(일),17:00,LG9vs5삼성,대구,-
06.29(화),18:30,KTvsLG,잠실,기타
06.30(수),15:00,KTvsLG,잠실,우천취소
,18:30,KT4vs3LG,잠실,-
07.01(목),18:30,KT6vs1LG,잠실,-
07.02(금),18:30,한화5vs3LG,잠실,-
07.03(토),18:00,한화vsLG,잠실,우천취소
07.04(일),17:00,한화0vs5LG,잠실,-
