날짜,시간,경기,구장,비고
04.03(토),14:00,LGvsNC,창원,우천취소
04.04(일),14:00,LG2vs1NC,창원,-
04.06(화),18:30,롯데10vs5NC,창원,-
04.07(수),18:30,롯데6vs10NC,창원,-
04.08(목),18:30,롯데8vs4NC,창원,-
04.09(금),18:30,NC10vs6KIA,광주,-
04.10(토),17:00,NC9vs2KIA,광주,-
04.11(일),14:00,NC7vs3KIA,광주,-
04.13(화),18:30,NC4vs2SSG,문학,-
04.14(수),18:30,NC3vs0SSG,문학,-
04.15(목),18:30,NC3vs9SSG,문학,-
04.16(금),19:00,한화1vs9NC,창원,-
04.17(토),17:00,한화4vs14NC,창원,-
04.18(일),14:00,한화11vs3NC,창원,-
04.20(화),18:30,KT5vs2NC,창원,-
04.21(수),18:30,KT3vs4NC,창원,-
04.22(목),18:30,KT11vs5NC,창원,-
04.23(금),18:30,NC1vs5두산,잠실,-
04.24(토),17:00,NC6vs9두산,잠실,-
04.25(일),14:00,NC10vs0두산,잠실,-
04.27(화),18:30,NC0vs9삼성,대구,-
04.28(수),18:30,NC3vs4삼성,대구,-
04.29(목),18:30,NC9vs0삼성,대구,-
04.30(금),19:00,키움4vs3NC,창원,-
05.01(토),17:00,키움13vs9NC,창원,-
05.02(일),14:00,키움0vs5NC,창원,-
05.04(화),18:30,SSGvsNC,창원,기타
05.05(수),14:00,SSG13vs12NC,창원,-
05.06(목),18:30,SSG1vs7NC,창원,-
05.07(금),18:30,NCvsKT,수원,미세먼지취소
05.08(토),14:00,NCvsKT,수원,미세먼지취소
,17:00,NC5vs4KT,수원,-
05.09(일),14:00,NC16vs11KT,수원,-
,17:00,NC5vs9KT,수원,-
05.11(화),18:30,NC7vs2한화,대전,-
05.12(수),18:30,NC6vs3한화,대전,-
05.13(목),18:30,NC4vs2한화,대전,-
05.14(금),19:00,KIA2vs5NC,창원,-
05.15(토),14:00,KIA3vs7NC,창원,-
05.16(일),14:00,KIAvsNC,창원,우천취소
05.17(월),18:30,KIAvsNC,창원,우천취소
05.18(화),18:30,NC0vs1LG,잠실,-
05.19(수),14:00,NC5vs6LG,잠실,-
05.20(목),18:30,NC11vs1LG,잠실,-
05.21(금),18:30,NC0vs2키움,고척,-
05.22(토),17:00,NC6vs13키움,고척,-
05.23(일),14:00,NC4vs7키움,고척,-
05.25(화),18:30,삼성vsNC,창원,기타
05.26(수),18:30,삼성7vs1NC,창원,-
05.27(목),18:30,삼성3vs6NC,창원,-
05.28(금),18:30,NCvs롯데,사직,그라운드사정
05.29(토),14:00,NC10vs10롯데,사직,-
,17:00,NC6vs2롯데,사직,-
05.30(일),14:00,NC5vs4롯데,사직,-
06.01(화),18:30,두산4vs3NC,창원,-
06.02(수),18:30,두산5vs9NC,창원,-
06.03(목),18:30,두산vsNC,창원,우천취소
06.04(금),19:00,한화3vs6NC,창원,-
06.05(토),17:00,한화1vs6NC,창원,-
06.06(일),17:00,한화13vs10NC,창원,-
06.08(화),18:30,NC1vs2LG,잠실,-
06.09(수),18:30,NC3vs6LG,잠실,-
06.10(목),18:30,NC6vs0LG,잠실,-
06.11(금),18:30,NC5vs4삼성,대구,-
06.12(토),17:00,NC1vs4삼성,대구,-
06.13(일),17:00,NC3vs5삼성,대구,-
06.15(화),18:30,KTvsNC,창원,우천취소
06.16(수),18:30,KT7vs3NC,창원,-
06.17(목),18:30,KT1vs9NC,창원,-
06.18(금),19:00,키움0vs5NC,창원,-
06.19(토),17:00,키움12vs7NC,창원,-
06.20(일),17:00,키움8vs4NC,창원,-
06.22(화),18:30,NC5vs2롯데,사직,-
06.23(수),18:30,NC7vs13롯데,사직,-
06.24(목),18:30,NC6vs4롯데,사직,-
06.25(금),19:00,SSG10vs11NC,창원,-
06.26(토),17:00,SSG10vs10NC,창원,-
06.27(일),17:00,SSG3vs4NC,창원,-
06.29(화),18:30,NC7vs3KIA,광주,-
06.30(수),18:30,NCvsKIA,광주,우천취소
07.01(목),18:30,NC3vs6KIA,광주,-
07.02(금),19:00,삼성5vs2NC,창원,-
07.03(토),18:00,삼성vsNC,창원,우천취소
07.04(일),17:00,삼성5vs0NC,창원,-
07.05(월),18:30,삼성vsNC,창원,우천취소
07.06(화),18:30,NC7vs3두산,잠실,-
