날짜,시간,경기,구장,비고
04.03(토),14:00,KIAvs두산,잠실,우천취소
04.04(일),14:00,KIA1vs4두산,잠실,-
04.06(화),18:30,삼성3vs6두산,잠실,-
04.07(수),18:30,삼성0vs1두산,잠실,-
04.08(목),18:30,삼성6vs1두산,잠실,-
04.09(금),18:30,두산0vs7한화,대전,-
04.10(토),17:00,두산18vs1한화,대전,-
04.11(일),14:00,두산2vs3한화,대전,-
04.13(화),18:30,KT8vs7두산,잠실,-
04.14(수),18:30,KT1vs3두산,잠실,-
04.15(목),18:30,KT8vs3두산,잠실,-
04.16(금),18:30,두산0vs1LG,잠실,-
04.17(토),17:00,두산3vs1LG,잠실,-
04.18(일),14:00,두산9vs1LG,잠실,-
04.20(화),18:30,두산5vs10롯데,사직,-
04.21(수),18:30,두산9vs10롯데,사직,-
04.22(목),18:30,두산13vs1롯데,사직,-
04.23(금),18:30,NC1vs5두산,잠실,-
04.24(토),17:00,NC6vs9두산,잠실,-
04.25(일),14:00,NC10vs0두산,잠실,-
04.27(화),18:30,두산4vs5키움,고척,-
04.28(수),18:30,두산4vs5키움,고척,-
04.29(목),18:30,두산15vs4키움,고척,-
04.30(금),18:30,SSG4vs9두산,잠실,-
05.01(토),17:00,SSG5vs2두산,잠실,-
05.02(일),14:00,SSG5vs8두산,잠실,-
05.04(화),18:30,LGvs두산,잠실,기타
05.05(수),14:00,LG7vs4두산,잠실,-
05.06(목),18:30,LG7vs2두산,잠실,-
05.07(금),18:30,두산vsKIA,광주,미세먼지취소
05.08(토),14:00,두산vsKIA,광주,미세먼지취소
,17:00,두산11vs5KIA,광주,-
05.09(일),14:00,두산5vs3KIA,광주,-
,17:00,두산9vs0KIA,광주,-
05.11(화),18:30,키움2vs3두산,잠실,-
05.12(수),18:30,키움3vs0두산,잠실,-
05.13(목),18:30,키움14vs13두산,잠실,-
05.14(금),18:30,두산6vs3SSG,문학,-
05.15(토),17:00,두산vsSSG,문학,우천취소
05.16(일),14:00,두산vsSSG,문학,우천취소
,17:00,두산vsSSG,문학,우천취소
05.17(월),18:30,두산8vs3SSG,문학,-
05.18(화),18:30,두산0vs1KT,수원,-
05.19(수),14:00,두산5vs6KT,수원,-
05.20(목),18:30,두산vsKT,수원,우천취소
05.21(금),18:30,롯데9vs1두산,잠실,-
05.22(토),17:00,롯데3vs4두산,잠실,-
05.23(일),14:00,롯데0vs4두산,잠실,-
05.25(화),18:30,한화vs두산,잠실,기타
05.26(수),18:30,한화3vs9두산,잠실,-
05.27(목),18:30,한화3vs0두산,잠실,-
05.28(금),18:30,두산9vs4삼성,대구,-
05.29(토),17:00,두산4vs16삼성,대구,-
05.30(일),14:00,두산4vs2삼성,대구,-
06.01(화),18:30,두산4vs3NC,창원,-
06.02(수),18:30,두산5vs9NC,창원,-
06.03(목),18:30,두산vsNC,창원,우천취소
06.04(금),18:30,SSG2vs3두산,잠실,-
06.05(토),17:00,SSG5vs8두산,잠실,-
06.06(일),17:00,SSG4vs1두산,잠실,-
06.08(화),18:30,두산9vs18롯데,사직,-
06.09(수),18:30,두산14vs8롯데,사직,-
06.10(목),18:30,두산4vs5롯데,사직,-
