날짜,시간,경기,구장,비고
04.03(토),14:00,롯데vsSSG,문학,우천취소
04.04(일),14:00,롯데3vs5SSG,문학,-
04.06(화),18:30,롯데10vs5NC,창원,-
04.07(수),18:30,롯데6vs10NC,창원,-
04.08(목),18:30,롯데8vs4NC,창원,-
04.09(금),18:30,키움7vs2롯데,사직,-
04.10(토),17:00,키움0vs13롯데,사직,-
04.11(일),14:00,키움3vs2롯데,사직,-
04.13(화),18:30,롯데8vs0KIA,광주,-
04.14(수),18:30,롯데2vs3KIA,광주,-
04.15(목),18:30,롯데5vs10KIA,광주,-
04.16(금),18:30,삼성3vs9롯데,사직,-
04.17(토),17:00,삼성12vs0롯데,사직,-
04.18(일),14:00,삼성7vs0롯데,사직,-
04.20(화),18:30,두산5vs10롯데,사직,-
04.21(수),18:30,두산9vs10롯데,사직,-
04.22(목),18:30,두산13vs1롯데,사직,-
04.23(금),18:30,롯데10vs5KT,수원,-
04.24(토),17:00,롯데4vs2KT,수원,-
04.25(일),14:00,롯데5vs6KT,수원,-
04.27(화),18:30,롯데0vs4LG,잠실,-
04.28(수),18:30,롯데3vs0LG,잠실,-
04.29(목),18:30,롯데2vs3LG,잠실,-
04.30(금),18:30,한화11vs7롯데,사직,-
05.01(토),17:00,한화11vs3롯데,사직,-
05.02(일),14:00,한화5vs4롯데,사직,-
05.04(화),18:30,KIAvs롯데,사직,기타
05.05(수),14:00,KIA8vs5롯데,사직,-
05.06(목),18:30,KIA9vs17롯데,사직,-
05.07(금),18:30,롯데1vs4삼성,대구,-
05.08(토),17:00,롯데9vs8삼성,대구,-
05.09(일),14:00,롯데6vs8삼성,대구,-
05.11(화),18:30,SSG7vs6롯데,사직,-
05.12(수),18:30,SSG9vs2롯데,사직,-
05.13(목),18:30,SSG4vs5롯데,사직,-
05.14(금),18:30,KT9vs1롯데,사직,-
05.15(토),17:00,KT5vs4롯데,사직,-
05.16(일),14:00,KTvs롯데,사직,우천취소
05.17(월),18:30,KTvs롯데,사직,우천취소
05.18(화),18:30,롯데4vs3한화,대전,-
05.19(수),14:00,롯데2vs12한화,대전,-
05.20(목),18:30,롯데vs한화,대전,우천취소
05.21(금),18:30,롯데9vs1두산,잠실,-
05.22(토),17:00,롯데3vs4두산,잠실,-
05.23(일),14:00,롯데0vs4두산,잠실,-
05.25(화),18:30,LGvs롯데,사직,기타
05.26(수),18:30,LG5vs3롯데,사직,-
05.27(목),18:30,LG8vs1롯데,사직,-
05.28(금),18:30,NCvs롯데,사직,그라운드사정
05.29(토),14:00,NC10vs10롯데,사직,-
,17:00,NC6vs2롯데,사직,-
05.30(일),14:00,NC5vs4롯데,사직,-
06.01(화),18:30,롯데3vs0키움,고척,-
06.02(수),18:30,롯데4vs2키움,고척,-
06.03(목),18:30,롯데4vs9키움,고척,-
06.04(금),18:30,롯데15vs0KT,수원,-
06.05(토),17:00,롯데1vs8KT,수원,-
06.06(일),17:00,롯데8vs7KT,수원,-
06.08(화),18:30,두산9vs18롯데,사직,-
06.09(수),18:30,두산14vs8롯데,사직,-
06.10(목),18:30,두산4vs5롯데,사직,-
06.11(금),18:30,KIAvs롯데,사직,우천취소
06.12(토),14:00,KIAvs롯데,사직,우천취소
,17:00,KIAvs롯데,사직,우천취소
06.13(일),14:00,KIA6vs8롯데,사직,-
,17:00,KIA6vs3롯데,사직,-
06.15(화),18:30,롯데2vs3한화,대전,-
06.16(수),15:00,롯데4vs9한화,대전,-
,18:30,롯데3vs4한화,대전,-
06.17(목),18:30,롯데9vs2한화,대전,-
06.18(금),18:30,삼성4vs7롯데,사직,-
06.19(토),17:00,삼성9vs1롯데,사직,-
06.20(일),17:00,삼성7vs8롯데,사직,-
06.22(화),18:30,NC5vs2롯데,사직,-
06.23(수),18:30,NC7vs13롯데,사직,-
06.24(목),18:30,NC6vs4롯데,사직,-
06.25(금),18:30,롯데9vs1두산,잠실,-
06.26(토),17:00,롯데4vs3두산,잠실,-
06.27(일),17:00,롯데vs두산,잠실,-
06.29(화),18:30,롯데13vs5키움,고척,-
06.30(수),18:30,롯데5vs6키움,고척,-
07.01(목),18:30,롯데1vs13키움,고척,-
07.02(금),18:30,롯데6vs5SSG,문학,-
07.03(토),18:00,롯데vsSSG,문학,우천취소
07.04(일),17:00,롯데6vs4SSG,문학,-
07.05(월),18:30,롯데4vs10SSG,문학,-
07.06(화),18:30,LGvs롯데,사직,우천취소
07.07(수),18:30,LGvs롯데,사직,우천취소
07.08(목),18:30,LGvs롯데,사직,우천취소
07.09(금),18:30,롯데9vs5삼성,대구,-
07.10(토),18:00,롯데2vs3삼성,대구,-
07.11(일),17:00,롯데0vs11삼성,대구,-
07.13(화),18:30,한화vs롯데,사직,기타
07.14(수),18:30,한화vs롯데,사직,기타
07.15(목),18:30,한화vs롯데,사직,기타
07.16(금),18:30,SSGvs롯데,사직,기타
07.17(토),18:00,SSGvs롯데,사직,기타
07.18(일),17:00,SSGvs롯데,사직,기타
08.10(화),18:30,롯데5vs2NC,창원,-
08.11(수),18:30,롯데5vs4NC,창원,-
