날짜,시간,경기,구장,비고
04.03(토),14:00,삼성1vs6키움,고척,-
04.04(일),14:00,삼성4vs7키움,고척,-
04.06(화),18:30,삼성3vs6두산,잠실,-
04.07(수),18:30,삼성0vs1두산,잠실,-
04.08(목),18:30,삼성6vs1두산,잠실,-
04.09(금),18:30,KT5vs7삼성,대구,-
04.10(토),14:00,KT6vs7삼성,대구,-
04.11(일),14:00,KT2vs4삼성,대구,-
04.13(화),18:30,한화3vs4삼성,대구,-
04.14(수),18:30,한화6vs2삼성,대구,-
04.15(목),18:30,한화0vs4삼성,대구,-
04.16(금),18:30,삼성3vs9롯데,사직,-
04.17(토),17:00,삼성12vs0롯데,사직,-
04.18(일),14:00,삼성7vs0롯데,사직,-
04.20(화),18:30,SSG10vs7삼성,대구,-
04.21(수),18:30,SSG4vs14삼성,대구,-
04.22(목),18:30,SSG11vs6삼성,대구,-
04.23(금),18:30,삼성1vs4KIA,광주,-
04.24(토),17:00,삼성8vs4KIA,광주,-
04.25(일),14:00,삼성3vs2KIA,광주,-
04.27(화),18:30,NC0vs9삼성,대구,-
04.28(수),18:30,NC3vs4삼성,대구,-
04.29(목),18:30,NC9vs0삼성,대구,-
04.30(금),18:30,LG0vs4삼성,대구,-
05.01(토),17:00,LG2vs8삼성,대구,-
05.02(일),14:00,LG4vs6삼성,대구,-
05.04(화),18:30,삼성vs한화,대전,기타
05.05(수),14:00,삼성4vs1한화,대전,-
05.06(목),18:30,삼성5vs6한화,대전,-
05.07(금),18:30,롯데1vs4삼성,대구,-
05.08(토),17:00,롯데9vs8삼성,대구,-
05.09(일),14:00,롯데6vs8삼성,대구,-
05.12(수),18:30,삼성7vs5KT,수원,-
05.13(목),18:30,삼성4vs0KT,수원,-
05.14(금),18:30,삼성3vs4LG,잠실,-
05.15(토),17:00,삼성4vs14LG,잠실,-
05.16(일),14:00,삼성vsLG,잠실,우천취소
05.17(월),18:30,삼성3vs1LG,잠실,-
05.18(화),18:30,키움15vs3삼성,대구,-
05.19(수),14:00,키움9vs2삼성,대구,-
05.20(목),18:30,키움vs삼성,대구,우천취소
05.21(금),18:30,KIA3vs5삼성,대구,-
05.22(토),17:00,KIA9vs4삼성,대구,-
05.23(일),14:00,KIA5vs7삼성,대구,-
05.25(화),18:30,삼성vsNC,창원,기타
05.26(수),18:30,삼성7vs1NC,창원,-
05.27(목),18:30,삼성3vs6NC,창원,-
05.28(금),18:30,두산9vs4삼성,대구,-
05.29(토),17:00,두산4vs16삼성,대구,-
05.30(일),14:00,두산4vs2삼성,대구,-
06.01(화),18:30,삼성0vs1SSG,문학,-
06.02(수),18:30,삼성8vs7SSG,문학,-
06.03(목),18:30,삼성vsSSG,문학,우천취소
06.04(금),18:30,삼성6vs3키움,고척,-
06.05(토),17:00,삼성2vs6키움,고척,-
06.06(일),17:00,삼성3vs1키움,고척,-
06.08(화),18:30,KIA0vs7삼성,대구,-
06.09(수),18:30,KIA7vs5삼성,대구,-
06.10(목),18:30,KIA2vs4삼성,대구,-
06.11(금),18:30,NC5vs4삼성,대구,-
06.12(토),17:00,NC1vs4삼성,대구,-
06.13(일),17:00,NC3vs5삼성,대구,-
06.15(화),18:30,삼성8vs6두산,잠실,-
06.16(수),18:30,삼성5vs3두산,잠실,-
06.17(목),18:30,삼성2vs6두산,잠실,-
06.18(금),18:30,삼성4vs7롯데,사직,-
06.19(토),17:00,삼성9vs1롯데,사직,-
06.20(일),17:00,삼성7vs8롯데,사직,-
06.22(화),18:30,한화0vs9삼성,대구,-
06.23(수),18:30,한화0vs3삼성,대구,-
06.24(목),18:30,한화2vs3삼성,대구,-
06.25(금),18:30,LGvs삼성,대구,우천취소
06.26(토),14:00,LG10vs5삼성,대구,-
,17:00,LG7vs10삼성,대구,-
06.27(일),17:00,LG9vs5삼성,대구,-
06.29(화),18:30,삼성3vs10SSG,문학,-
06.30(수),15:00,삼성3vs3SSG,문학,-
,18:30,삼성4vs8SSG,문학,-
07.01(목),18:30,삼성8vs7SSG,문학,-
07.02(금),19:00,삼성5vs2NC,창원,-
07.03(토),18:00,삼성vsNC,창원,우천취소
07.04(일),17:00,삼성5vs0NC,창원,-
07.05(월),18:30,삼성vsNC,창원,우천취소
07.06(화),18:30,KTvs삼성,대구,우천취소
07.07(수),18:30,KTvs삼성,대구,우천취소
