날짜,시간,경기,구장,비고
04.03(토),14:00,삼성1vs6키움,고척,-
04.04(일),14:00,삼성4vs7키움,고척,-
04.06(화),18:30,KIA5vs4키움,고척,-
04.07(수),18:30,KIA8vs7키움,고척,-
04.08(목),18:30,KIA5vs3키움,고척,-
04.09(금),18:30,키움7vs2롯데,사직,-
04.10(토),17:00,키움0vs13롯데,사직,-
04.11(일),14:00,키움3vs2롯데,사직,-
04.13(화),18:30,LG2vs8키움,고척,-
04.14(수),18:30,LG13vs2키움,고척,-
04.15(목),18:30,LG6vs4키움,고척,-
04.16(금),18:30,키움4vs8KT,수원,-
04.17(토),17:00,키움5vs8KT,수원,-
04.18(일),14:00,키움2vs10KT,수원,-
04.20(화),18:30,키움3vs7한화,대전,-
04.21(수),18:30,키움3vs4한화,대전,-
04.22(목),18:30,키움8vs3한화,대전,-
04.23(금),18:30,SSG9vs5키움,고척,-
04.24(토),14:00,SSG5vs4키움,고척,-
04.25(일),14:00,SSG3vs4키움,고척,-
04.27(화),18:30,두산4vs5키움,고척,-
04.28(수),18:30,두산4vs5키움,고척,-
04.29(목),18:30,두산15vs4키움,고척,-
04.30(금),19:00,키움4vs3NC,창원,-
05.01(토),17:00,키움13vs9NC,창원,-
05.02(일),14:00,키움0vs5NC,창원,-
05.04(화),18:30,KTvs키움,고척,기타
05.05(수),14:00,KT0vs14키움,고척,-
05.06(목),18:30,KT4vs6키움,고척,-
05.07(금),18:30,키움vsSSG,문학,미세먼지취소
05.08(토),14:00,키움vsSSG,문학,미세먼지취소
,17:00,키움9vs2SSG,문학,-
05.09(일),14:00,키움1vs4SSG,문학,-
,17:00,키움3vs4SSG,문학,-
05.11(화),18:30,키움2vs3두산,잠실,-
05.12(수),18:30,키움3vs0두산,잠실,-
05.13(목),18:30,키움14vs13두산,잠실,-
05.14(금),18:30,한화6vs1키움,고척,-
05.15(토),14:00,한화1vs15키움,고척,-
05.16(일),14:00,한화1vs5키움,고척,-
05.18(화),18:30,키움15vs3삼성,대구,-
05.19(수),14:00,키움9vs2삼성,대구,-
05.20(목),18:30,키움vs삼성,대구,우천취소
05.21(금),18:30,NC0vs2키움,고척,-
05.22(토),17:00,NC6vs13키움,고척,-
05.23(일),14:00,NC4vs7키움,고척,-
05.25(화),18:30,키움vsKIA,광주,기타
05.26(수),18:30,키움2vs3KIA,광주,-
05.27(목),18:30,키움4vs5KIA,광주,-
05.28(금),18:30,키움1vs3LG,잠실,-
05.29(토),17:00,키움7vs2LG,잠실,-
05.30(일),14:00,키움2vs8LG,잠실,-
06.01(화),18:30,롯데3vs0키움,고척,-
06.02(수),18:30,롯데4vs2키움,고척,-
06.03(목),18:30,롯데4vs9키움,고척,-
06.04(금),18:30,삼성6vs3키움,고척,-
06.05(토),17:00,삼성2vs6키움,고척,-
06.06(일),17:00,삼성3vs1키움,고척,-
06.08(화),18:30,키움2vs4한화,대전,-
06.09(수),18:30,키움6vs2한화,대전,-
06.10(목),18:30,키움0vs1한화,대전,-
06.11(금),18:30,키움6vs8SSG,문학,-
06.12(토),17:00,키움4vs5SSG,문학,-
06.13(일),17:00,키움7vs3SSG,문학,-
06.15(화),18:30,LG4vs2키움,고척,-
06.16(수),18:30,LG3vs6키움,고척,-
06.17(목),18:30,LG6vs5키움,고척,-
06.18(금),19:00,키움0vs5NC,창원,-
06.19(토),17:00,키움12vs7NC,창원,-
06.20(일),17:00,키움8vs4NC,창원,-
06.22(화),18:30,키움3vs10두산,잠실,-
06.23(수),18:30,키움4vs3두산,잠실,-
06.24(목),18:30,키움2vs1두산,잠실,-
06.25(금),18:30,KIA5vs14키움,고척,-
06.26(토),17:00,KIA1vs6키움,고척,-
06.27(일),17:00,KIA4vs5키움,고척,-
06.29(화),18:30,롯데13vs5키움,고척,-
06.30(수),18:30,롯데5vs6키움,고척,-
07.01(목),18:30,롯데1vs13키움,고척,-
07.02(금),18:30,키움1vs4KT,수원,-
07.03(토),18:00,키움vsKT,수원,우천취소
07.04(일),17:00,키움3vs12KT,수원,-
07.05(월),18:30,키움15vs5KT,수원,-
07.06(화),18:30,SSG0vs4키움,고척,-
07.07(수),18:30,SSG2vs8키움,고척,-
07.08(목),18:30,SSG9vs3키움,고척,-
07.09(금),18:30,NCvs키움,고척,기타
07.10(토),18:00,NCvs키움,고척,기타
