날짜,시간,경기,구장,비고
04.03(토),14:00,한화vsKT,수원,우천취소
04.04(일),14:00,한화2vs3KT,수원,-
04.06(화),18:30,한화1vs2SSG,문학,-
04.07(수),18:30,한화17vs0SSG,문학,-
04.08(목),18:30,한화4vs6SSG,문학,-
04.09(금),18:30,두산0vs7한화,대전,-
04.10(토),17:00,두산18vs1한화,대전,-
04.11(일),14:00,두산2vs3한화,대전,-
04.13(화),18:30,한화3vs4삼성,대구,-
04.14(수),18:30,한화6vs2삼성,대구,-
04.15(목),18:30,한화0vs4삼성,대구,-
04.16(금),19:00,한화1vs9NC,창원,-
04.17(토),17:00,한화4vs14NC,창원,-
04.18(일),14:00,한화11vs3NC,창원,-
04.20(화),18:30,키움3vs7한화,대전,-
04.21(수),18:30,키움3vs4한화,대전,-
04.22(목),18:30,키움8vs3한화,대전,-
04.23(금),18:30,LG2vs1한화,대전,-
04.24(토),14:00,LG5vs19한화,대전,-
04.25(일),14:00,LG8vs0한화,대전,-
04.27(화),18:30,한화3vs4KIA,광주,-
04.28(수),18:30,한화0vs4KIA,광주,-
04.29(목),18:30,한화2vs3KIA,광주,-
04.30(금),18:30,한화11vs7롯데,사직,-
05.01(토),17:00,한화11vs3롯데,사직,-
05.02(일),14:00,한화5vs4롯데,사직,-
05.04(화),18:30,삼성vs한화,대전,기타
05.05(수),14:00,삼성4vs1한화,대전,-
05.06(목),18:30,삼성5vs6한화,대전,-
05.07(금),18:30,한화vsLG,잠실,미세먼지취소
05.08(토),14:00,한화vsLG,잠실,미세먼지취소
,17:00,한화2vs11LG,잠실,-
05.09(일),14:00,한화1vs11LG,잠실,-
,17:00,한화5vs4LG,잠실,-
05.11(화),18:30,NC7vs2한화,대전,-
05.12(수),18:30,NC6vs3한화,대전,-
05.13(목),18:30,NC4vs2한화,대전,-
05.14(금),18:30,한화6vs1키움,고척,-
05.15(토),14:00,한화1vs15키움,고척,-
05.16(일),14:00,한화1vs5키움,고척,-
05.18(화),18:30,롯데4vs3한화,대전,-
05.19(수),14:00,롯데2vs12한화,대전,-
05.20(목),18:30,롯데vs한화,대전,우천취소
05.21(금),18:30,KT0vs4한화,대전,-
05.22(토),17:00,KT0vs5한화,대전,-
05.23(일),14:00,KT8vs1한화,대전,-
05.25(화),18:30,한화vs두산,잠실,기타
