"SenKey","AddDt","CRRMngKey","SSO","FSR","LIG","HAL","VIB"
"374373","2021-06-21 16:38:30","H001236001","25.81","155","115","1","0"
"374371","2021-06-21 16:38:30","H001236001","25.7","159","117","1","0"
"374369","2021-06-21 16:38:29","H001236001","25.82","156","114","1","0"
"374367","2021-06-21 16:38:29","H001236001","25.7","159","115","1","0"
"374365","2021-06-21 16:38:28","H001236001","25.82","161","119","1","0"
"374363","2021-06-21 16:38:27","H001236001","25.69","159","116","1","0"
"374361","2021-06-21 16:38:27","H001236001","25.81","158","116","0","0"
"374359","2021-06-21 16:38:26","H001236001","25.7","160","116","0","0"
"374357","2021-06-21 16:38:26","H001236001","25.81","161","119","0","0"
"374355","2021-06-21 16:38:25","H001236001","25.7","160","118","0","0"
"374353","2021-06-21 16:38:24","H001236001","25.82","170","127","1","0"
"374351","2021-06-21 16:38:24","H001236001","25.7","164","121","0","0"
"374349","2021-06-21 16:38:23","H001236001","25.82","163","120","1","0"
"374347","2021-06-21 16:38:23","H001236001","25.7","158","116","1","0"
"374345","2021-06-21 16:38:22","H001236001","25.82","167","127","1","0"
"374343","2021-06-21 16:38:21","H001236001","25.72","157","115","1","0"
"374341","2021-06-21 16:38:21","H001236001","25.82","166","125","1","0"
"374339","2021-06-21 16:38:20","H001236001","25.72","169","126","1","0"
"374337","2021-06-21 16:38:20","H001236001","25.82","162","117","1","0"
"374335","2021-06-21 16:38:19","H001236001","25.81","168","122","1","0"
"374333","2021-06-21 16:38:18","H001236001","25.7","169","121","1","0"
"374331","2021-06-21 16:38:18","H001236001","25.81","170","119","1","0"
"374329","2021-06-21 16:38:17","H001236001","25.7","165","116","1","0"
"374327","2021-06-21 16:38:17","H001236001","25.81","166","118","1","0"
"374325","2021-06-21 16:38:16","H001236001","25.7","166","116","0","0"
"374323","2021-06-21 16:38:15","H001236001","25.81","166","116","0","0"
"374321","2021-06-21 16:38:15","H001236001","25.81","163","113","0","0"
"374319","2021-06-21 16:38:14","H001236001","25.7","173","120","0","0"
"374317","2021-06-21 16:38:14","H001236001","25.72","170","127","1","0"
"374315","2021-06-21 16:38:13","H001236001","25.81","170","124","1","0"
"374313","2021-06-21 16:38:12","H001236001","25.7","168","123","1","0"
"374311","2021-06-21 16:38:12","H001236001","25.82","168","124","1","0"
"374309","2021-06-21 16:38:11","H001236001","25.7","166","125","1","0"
"374307","2021-06-21 16:38:11","H001236001","25.81","168","125","1","0"
"374305","2021-06-21 16:38:10","H001236001","25.81","167","123","0","0"
"374303","2021-06-21 16:38:09","H001236001","25.82","168","125","0","0"
"374301","2021-06-21 16:38:09","H001236001","25.82","166","127","0","0"
"374299","2021-06-21 16:38:08","H001236001","25.7","167","126","1","0"
