"SenKey","AddDt","CRRMngKey","SSO","FSR","LIG","HAL","VIB"
"400342","2021-07-16 17:12:11","H001238001","25.64","168","123","1","0"
"400340","2021-07-16 17:12:11","H001238001","25.74","168","123","1","0"
"400338","2021-07-16 17:12:10","H001238001","25.74","169","124","1","0"
"400336","2021-07-16 17:12:09","H001238001","25.64","169","124","1","0"
"400334","2021-07-16 17:12:09","H001238001","25.74","168","123","1","0"
"400332","2021-07-16 17:12:08","H001238001","25.64","168","124","1","0"
"400330","2021-07-16 17:12:08","H001238001","25.74","168","123","1","0"
"400328","2021-07-16 17:12:07","H001238001","25.62","168","123","1","0"
"400326","2021-07-16 17:12:06","H001238001","25.74","168","124","0","0"
"400324","2021-07-16 17:12:06","H001238001","25.64","168","123","0","0"
"400322","2021-07-16 17:12:05","H001238001","25.74","168","123","0","0"
"400320","2021-07-16 17:12:05","H001238001","25.62","168","124","0","0"
"400318","2021-07-16 17:12:04","H001238001","25.72","169","123","0","0"
"400316","2021-07-16 17:12:03","H001238001","25.64","168","123","0","0"
"400314","2021-07-16 17:12:03","H001238001","25.74","169","123","0","0"
"400312","2021-07-16 17:12:02","H001238001","25.64","168","124","0","0"
"400310","2021-07-16 17:12:02","H001238001","25.72","168","124","0","0"
"400308","2021-07-16 17:12:01","H001238001","25.74","167","124","0","0"
"400306","2021-07-16 17:12:00","H001238001","25.64","168","123","1","0"
"400304","2021-07-16 17:12:00","H001238001","25.72","168","124","1","0"
"400302","2021-07-16 17:11:59","H001238001","25.62","168","124","1","0"
"400300","2021-07-16 17:11:59","H001238001","25.74","169","123","1","0"
"400298","2021-07-16 17:11:58","H001238001","25.62","168","123","1","0"
"400296","2021-07-16 17:11:57","H001238001","25.74","168","124","1","0"
"400294","2021-07-16 17:11:57","H001238001","25.62","168","125","1","0"
"400292","2021-07-16 17:11:56","H001238001","25.74","168","125","1","0"
"400290","2021-07-16 17:11:56","H001238001","25.62","168","126","1","0"
"400288","2021-07-16 17:11:55","H001238001","25.74","167","125","1","0"
"400286","2021-07-16 17:11:54","H001238001","25.62","167","126","0","0"
"400284","2021-07-16 17:11:54","H001238001","25.74","167","128","0","0"
"400282","2021-07-16 17:11:53","H001238001","25.64","166","155","0","0"
"400280","2021-07-16 17:11:53","H001238001","25.74","167","119","0","0"
"400278","2021-07-16 17:11:52","H001238001","25.64","167","119","0","0"
"400276","2021-07-16 17:11:51","H001238001","25.72","166","120","0","0"
