"SenKey","AddDt","CRRMngKey","SSO","FSR","LIG","HAL","VIB"
"513606","2021-09-05 15:40:50","H001238001","25.74","156","122","1","0"
"513604","2021-09-05 15:40:49","H001238001","25.69","156","121","1","0"
"513602","2021-09-05 15:40:49","H001238001","25.74","156","122","1","0"
"513600","2021-09-05 15:40:48","H001238001","25.74","156","122","1","0"
"513598","2021-09-05 15:40:48","H001238001","25.64","156","121","1","0"
"513596","2021-09-05 15:40:48","H001238001","25.74","155","121","1","0"
"513594","2021-09-05 15:40:48","H001238001","25.64","155","122","1","0"
"513592","2021-09-05 15:40:46","H001238001","25.74","155","121","0","0"
"513590","2021-09-05 15:40:45","H001238001","25.64","155","122","0","0"
"513588","2021-09-05 15:40:45","H001238001","25.74","155","121","0","0"
"513586","2021-09-05 15:40:44","H001238001","25.64","154","121","0","0"
"513584","2021-09-05 15:40:43","H001238001","25.74","154","122","0","0"
"513582","2021-09-05 15:40:43","H001238001","25.64","154","122","0","0"
"513580","2021-09-05 15:40:42","H001238001","25.74","153","123","0","0"
"513578","2021-09-05 15:40:42","H001238001","25.64","153","123","0","0"
"513576","2021-09-05 15:40:41","H001238001","25.74","153","123","0","0"
"513574","2021-09-05 15:40:40","H001238001","25.64","153","121","0","0"
"513572","2021-09-05 15:40:40","H001238001","25.74","152","123","0","0"
"513570","2021-09-05 15:40:39","H001238001","25.64","152","124","0","0"
"513568","2021-09-05 15:40:39","H001238001","25.74","151","123","0","0"
"513566","2021-09-05 15:40:38","H001238001","25.64","151","125","1","0"
"513564","2021-09-05 15:40:37","H001238001","25.74","150","126","1","0"
"513562","2021-09-05 15:40:37","H001238001","25.75","149","129","1","0"
"513560","2021-09-05 15:40:36","H001238001","25.64","150","134","1","0"
"513558","2021-09-05 15:40:36","H001238001","25.74","145","189","0","0"
"513556","2021-09-05 15:40:35","H001238001","25.64","141","465","1","0"
"513554","2021-09-05 15:40:34","H001238001","25.74","139","527","1","0"
"513552","2021-09-05 15:40:34","H001238001","25.64","140","556","1","0"
"513550","2021-09-05 15:40:33","H001238001","25.74","138","530","1","0"
"513548","2021-09-05 15:40:33","H001238001","17","129","532","1","0"
"513546","2021-09-05 15:40:32","H001238001","17.83","262","521","1","0"
"513544","2021-09-05 15:40:31","H001238001","17.41","257","502","1","0"
"513542","2021-09-05 15:40:31","H001238001","17","265","118","1","0"
"513540","2021-09-05 15:40:30","H001238001","17","267","119","1","0"
"513538","2021-09-05 15:40:30","H001238001","17","267","120","1","0"
"513536","2021-09-05 15:40:29","H001238001","17.41","267","121","1","0"
"513534","2021-09-05 15:40:28","H001238001","17.41","268","120","1","0"
"513532","2021-09-05 15:40:28","H001238001","17","268","120","1","0"
"513530","2021-09-05 15:40:27","H001238001","17","267","120","1","0"
"513528","2021-09-05 15:40:27","H001238001","17","268","120","1","0"
"513526","2021-09-05 15:40:26","H001238001","17","267","120","1","0"
"513524","2021-09-05 15:40:25","H001238001","17","266","121","1","0"
"513522","2021-09-05 15:40:25","H001238001","17.41","266","121","0","0"
"513520","2021-09-05 15:40:24","H001238001","17","267","120","0","0"
"513518","2021-09-05 15:40:24","H001238001","17.41","266","118","0","0"
"513516","2021-09-05 15:40:23","H001238001","17","265","121","0","0"
"513514","2021-09-05 15:40:22","H001238001","17","266","120","0","0"
"513512","2021-09-05 15:40:22","H001238001","17","267","121","0","0"
"513510","2021-09-05 15:40:21","H001238001","17","266","120","0","0"
"513508","2021-09-05 15:40:21","H001238001","17","267","120","0","0"
"513506","2021-09-05 15:40:20","H001238001","17","267","119","1","0"
"513504","2021-09-05 15:40:19","H001238001","17","265","119","1","0"
"513502","2021-09-05 15:40:19","H001238001","17","265","119","1","0"
"513500","2021-09-05 15:40:18","H001238001","17","265","119","1","0"
"513498","2021-09-05 15:40:18","H001238001","17","265","119","1","0"
"513496","2021-09-05 15:40:17","H001238001","17","264","119","1","0"
"513494","2021-09-05 15:40:16","H001238001","17","263","119","1","0"
"513492","2021-09-05 15:40:16","H001238001","17.1","263","119","0","0"
"513490","2021-09-05 15:40:15","H001238001","17","264","119","0","0"
"513488","2021-09-05 15:40:15","H001238001","17","264","120","0","0"
"513486","2021-09-05 15:40:14","H001238001","17","264","120","0","0"
"513484","2021-09-05 15:40:13","H001238001","17","264","119","0","0"
"513482","2021-09-05 15:40:13","H001238001","17","263","120","0","0"
"513480","2021-09-05 15:40:12","H001238001","17","264","119","0","0"
"513478","2021-09-05 15:40:12","H001238001","17","264","119","0","0"
"513476","2021-09-05 15:40:11","H001238001","17","264","119","1","0"
"513474","2021-09-05 15:40:10","H001238001","17.41","265","119","1","0"
"513472","2021-09-05 15:40:10","H001238001","17","264","118","1","0"
"513470","2021-09-05 15:40:09","H001238001","17","262","121","1","0"
"513468","2021-09-05 15:40:09","H001238001","17","263","119","1","0"
"513466","2021-09-05 15:40:08","H001238001","17","263","119","1","0"
"513464","2021-09-05 15:40:07","H001238001","17.42","264","119","1","0"
